# Divvun & Giellatekno - open source grammars for Sámi and other languages
# Copyright © 2000-2010 The University of Tromsø & the Norwegian Sámi Parliament
# http://giellatekno.uit.no & http://divvun.no
#
# This program is free software; you can redistribute and/or modify
# this file under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version. The GNU General Public License
# is found at http://www.gnu.org/licenses/gpl.html. It is
# also available in the file $GTHOME/LICENSE.txt.
#
# Other licensing options are available upon request, please contact
# giellatekno@hum.uit.no or divvun@samediggi.no

# typos.txt
# This file contains common typos and their corrections separated by
# <tab> character.
# leif<tab>feil
# Corrections that consist of two or more parts are not splitted
# further in the preprocessor, because there is no way of knowing
# whether the token is multipart expression or not.
# Beware of removing sentence delimiters (.!?) in correction, since
# they may indicate sentence boundaries.
#
#
# --- hyphen-section, most are not really typos and should be removed when we get the twol-rules to function ---
ov-nohkens	ovnohkens
bæjngolsvaarjoe	bæjngoldsvaarjoe
soeke	soekse
adjektivh	adjektijvh
attributt	attribuhte
åvtohke	åvtehke
tryjjedidh	tråjjadidh
bahkasidh	bæhkasidh
fearkasidh	færkasidh
jyörtedh	jöörtedh
slyöbpedh	slyöhpedh
tjuevtjiedidh	tjuvtjiedidh
teatere	teaatere
klaahtoehtidh	klæhtoehtidh
kroehkememaasjina	kroehkemasjijne
tjæjodh	tjæjnodh
pleentege	plaantege
spaaneshræhkere	spaaneserehkere
radijove	radijovve
jeeste	jeestere
eksamene	eksaamene
tseegksovvedh	tseegkesovvedh
aimetjh	almetjh
åårganiste	organiste
åårganisasjovnijiste	organisasjovnijste
ällasovveme	ællasovveme
veartenistie	veartanistie
ohtjetje	ånnetje
gïknjelsovvedh	gïknjeldovvedh
adjektiver	adjektijvh
attributivesne	attributijvesne
hoteellesne	hotellesne
gåetiessijjie	gåetiesijjie
gïlmetahke	gilmehtahke
håågke	håagke
jovkemsh	jovkemes
risnjedh	risjnedh
fïrredh	firredh
jïekedh	jiekedh
rïjtedh	rijtedh
nåaledh	nåalodh
provnedh	pruvnieldidh
bovtsealmetj	bovtsealmetje
beensine	bensijne
kilovmeter	kilomeetere
sjaampove	sjampove
viere	vïere
bearkoehkrovhte	bearkoekrovhte
ballka	balka
baktie	baektie
båirhketje	bïrhketje
muarjettjh	muarjetjh
gåårtjene	gåårtenje
gaertijes	gaertjies
gaajhkesjidh	gajhkesjidh
daajrehtakkedh	daajrehtalledh
batnadidh	batnanidh
asvehtidh	asvedidh
klientjiedidh	klienjiedidh
kaaptejne	kapteene
håagkhstaavra	håagkstaavra
sinsitnie	sinsitnien
registreresovveme	registreeresovveme
sinsitniejgujmie	sinsitnine
revisorem	revijsorem
teellerhke	tallerhke
regijovnaleministere	regionaaleministere
raadijovaaktijve	radioaktijve
povlitigken	politigken
onnetji	ånnetji
kravies	kraevies
giedties	giedtsies
öövtebe	övtebe
beavleos	beavloes
jihteles	jihtseles
soentere	sontere
åarjelhsaemide	åarjelsaemide
sijhtibie	sïjhtijibie
attrib	attr
mænngide	minngede
aadtjegkh	aadtjegh
Aadtjegkh	aadtjegh
ööhpedimmie	ööhpehtimmie
adtjegh	aadtjegh
tjaahkan	tjahkan
stierkebe	stïerhkebe
ræhpie	rehpie
mijjijste	mijjeste
lierie	leara
sjuevnede	sjuevnjede
sjuevneds	sjuevnjeds
sg	sg.
siejhmetji	soejmetji
TV-esne	TV:sne
raadijovesne	raadiosne
TV’esne	TV:sne
Bull’en	Bullen
Komparativ	Komparatijve
Jupmelasse	Jupmielasse
Attributt	Attribuhte
komparativ	komparatijve
govlibie	govlebe
jijtjehke	jïjtjehke
jijnjebh	jïjnjebh
jijnh	jïjnjh
vearolde	vearelde
jijtjemsh	jïjtjemsh
aalkuvesne	aalkovisnie
Ohtsemeraaje	Ohtsemeraejie
jillhts	jïlhts
govloes	gåvloes
Govloes	Gåvloes
gaajhksh	gaajhkesh
Gaajhksh	Gaajhkesh
sijjiesadtje	sæjjasadtje
sijjiesadtjh	sæjjasadtjh
samien	saemien
giedtjh	gidtjh
skaepiehtidh	skaepiedidh
sæjhtoe	sæjtoe
Rörosasse	Rörosese
siebredahken	siebriedahken
tjåanghkanidh	tjåanghkenidh
guarkoeh	guarkah
aahtjebem	aehtjebem
vihkelommes	vihkielommes
museemh	museeumh
tjovere	tjoevere
såangedidh	såångedidh
museeme	museeume
sopteste	soptseste
veenemes	vaenemes
veadaldihkie	veadtaldihkie
sïebredahkesne	siebriedahkesne
sïebredahke	siebriedahke
sveerjesne	Sveerjesne
øvteben	övteben
åarjelhsaemiej	åarjelsaemiej
åarjelhsaemien	åarjelsaemien
iktsth	iktegisth
mubpehte	mubpede
iedtjeldahta	ïedtjeldahta
soejmehtji	soejmetji
läänesne	leenesne
kapittelisnie	kapïhtelisnie
jielemisnie	jieliemisnie
siebredahkem	siebriedahkem
alma	ålma
åarjelhsaemieh	åarjelsaemieh
jielemasse	jieliemasse
kultuvrasse	kultuvrese
jijnjesh	jïjnjesh
prediaktivt	predikatijve
faalaldahke	faaleldahke
faalaldahkem	faaleldahkem
ööhpehtimieprovgramme	ööhpehtimmieprogramme
ööhpehtimieprovgrammen	ööhpehtimmieprogrammen
Ööpetimmie	Ööhpehtimmie
ööpetimmie	ööhpehtimmie
Ööhpetimmie	Ööhpehtimmie
jienedamme	jieniedamme
edtjidien	edtjeden
byjressiebredahkh	byjresesiebriedahkh
ööhpetimmie	ööhpehtimmie
provgrammem	programmem
instutisjovnh	institusjovnh
jielemidie	jieliemidie
jeatjatehtedh	jeatjahtehtedh
Superlativ	Superlatijve
haestemidie	haestiemidie
gaajhkeside	gaajhkesidie
vierremes	vïerremes
Åarjelhsaemien	Åarjelsaemien
Åvtohkh	Åvtehkh
kultuvrisnie	kultuvresne
Gellesh	Gallesh
fierhtene	fïerhtene
sjugnedamme	sjugniedamme
krovnah	kråvnah
jïenebh	jienebh
giempes	gïemhpes
Tjåangkan	Tjåanghkan
Dotnoeh	Dåtnoeh
evtietæmman	evtiedæmman
evtietimmie	evtiedimmie
eatnami	eatnemi
gieleh	gïelh
voelhkehti	voelkehti
åvtohkem	åvtehkem
lijhkieåvtohke	lijkieåvtehke
åvtohken	åvtehken
åvtohkedaltese	åvtehkedaltese
staateåvtohke	staateåvtehke
skåvloeåvtohke	skåvloeåvtehke
skåvloebiejjen	skåvloebiejjien
saemiengieIeåvtohke	saemiengïeleåvtehke
leeneåvtohken	leeneåvtehken
leenenåvtohke	leeneåvtehke
kontovreåvtohke	kontovreåvtehke
Staateåvtohke	Staateåvtehke
saervie	siebrie
øøvtiehtdidh	övtiedidh
øøvtiedimmiem	övtiedimmiem
øøvtiedieh	övtiedieh
øøvtietdidh	övtiedidh
vith	viht
satna	satne
urresth	orresth
taallh	taalh
øøvtiehtidh	övtiedidh
øøvtiedæmman	övtiedæmman
voesteskonsuvlentine	voesteskonsulentine
øøvtiedimmien	övtiedimmien
øøvtiebasse	övtiebasse
øøvtiedimmesne	övtiedimmesne
gieleøøvtiedimmimesne	gïeleövtiedimmesne
gieleøøvtiedimmesne	gïeleövtiedimmesne
øøvtiedamme	övtiedamme
øøvtede	övtede
ööpehtimmine	ööhpehtimmine
ööpehtimmien	ööhpehtimmien
ööhpehtimmiesne	ööhpehtimmesne
mijjien	mijjen
kråehpesne	kråahpesne
kråehpem	kråahpem
kråehpe	kråahpe
kultuvreevtietæmman	kultuvreevtiedæmman
sosiokultuvrelle	sosiokulturelle
kultuvrelle	kulturelle
kultuvreövtiedimmese	kultuvreövtiedæmman
Meedija	Meedije
NSR-e	NSR
Oslovesne	Oslovisnie
jijnjemes	jïjnjemes
vyösoejibie	veasoejibie
åvtelhbodti	åvtelbodti
vuejnibie	vuejnebe
Josefe	Josef
Teel	Tel.
NSR-n	NSR:n
Filipe	Filip
Rijkengïehtjiedimmie	Rïjhkengïehtjedimmie
Heermese	Hermes
Gööte	Göte
tjuvtjehte	tjuvtjede
aalkuveste	aalkovistie
gaajhksh	gaajhkesh
siebredahkh	siebriedahkh
mïnnieh	minnieh
aanje	annje
ålmege	åålmege
tjïltide	tjïeltide
veartenasse	veartanasse
veantoe	veanhtoe
orrije	orreje
tjaeleldh	tjaaleldh
svarkedlh	svarkeldh
åvtohkh	åvtehkh
meedijah	meediah
meedijaj	meediaj
byöribie	byörebe
paartijjh	partijh
meankielin	meänkielin
Gierve	Geerve
madti	medtie
lutnjiestidh	lutnjestidh
lutnjiesti	lutnjesti
IN-n	IN:n
juhtiej	juhti
bijjiebass	bijjiebasse
TV-em	TV:m
Lutnjiestæjjan	Lutniestæjjan
Lutnjiestæjja	Lutniestæjja
TV-e	TV
NSR-se	NSR:se
Maajh-jaevresne	Maajehjaevresne
Messiase	Messias
gieleøøhpehtæmman	gïeleööhpehtæmman
edtjiejibie	edtjijibie
Jillieskovle	Jïlleskuvle
dåajvohtamme	dåajvoehtamme
dejmetje	dæjmetje
Aellidie	Aellede
aamhtse	aamhtese
ektesvuekiebarkoe	ektievuekiebarkoe
dååhkasjehteme	dåhkasjehteme
dåeresth	dåaresth
dååhkasjehtedh	dåhkasjehtedh
båatsoejielemasse	båatsoejieliemasse
EN-n	EN:n
2008:esne	2008:sne
tjåanghkanamme	tjåanghkenamme
tjaetsiegohkedahken	tjaetsiegohkedahken
Raavrvijhkesne	Raavrhvijhkesne
Oslovesne	Oslosne
gåjhkelovvh	gajhkelovvh
guarka	guarkoe
Frovde	Frode
Josefe	Josef
gåvloes	govloe
digks	dihkies
NRK-en	NRK:n
tjåanghkani	tjåanghkeni
Jillhts	Jïlhts
jilhts	jïlhts
øøhpehtæmman	ööhpehtæmman
tsiengelen	garretsïengelen
nännostamme	nænnoestamme
nænnostidh	nænnoestidh
njolkedassem	njoelkedassem
mïetksen	mïetsken
Ibsene	Ibsen
jijtsissie	jïjsissie
baakotje	bååketje
gijhtem	gæjhtam
eatname	eatneme
samarier	samaarijh
fariseerh	farisæjjerh
Daalaj	Dalai
ÖÖPEHTIMMIEPROGRAMMH	ÖÖHPEHTIMMIEPROGRAMMH
Daalaj	Dalai
Laama	Lama
nasjovnale	nasjonaale
regijonale	regionaale
regijonalh	regionaalh
provgramme	programme
vååjnodh	vååjnedh
identitet	identiteete
ideentitetese	identiteetese
ideentitetem	identiteetem
ideentihtetem	identiteetem
dajvistie	dajvijste
soejkesijnie	soejkesjinie
sïenten	sienten
prosjeektem	prosjektem
krïepsji	krïebpesji
evtietimmiesoejkesjem	evtiedimmiesoejkesje
aastoe	astoe
luehpiedimmie	luhpiedimmie
fylkentjïeltigujmie	fylhketjïeltigujmie
evtete	evtede
maahte	mahte
gaajhkes	gaajhkesh
föörkestahta	föörhkestahta
Noovrlaanten	Novrlaanten
Kultuvrasse	Kultuvrese
vuaptastehte	vuaptastahta
verremes	veerremes
reekteshte	reekteste
Juvdase	Judas
sierrenohke	sïerrenohke
jarka	jarke
ööpehtimmiem	ööhpehtimmiem
åehpenidh	åahpenidh
vååjnoem	våajnoem
Ööhpetimmie	Ööhpehtimmie
tsevtsiedidh	tsevtsiehtidh
våaromisnie	våaroemisnie
beajeme	bïejeme
aktehte	aktede
aarkbeajjetjen	aarkebeajjetjen
sjaangerinie	sjangerinie
sjaangeri	sjangeri
govlibie	govlebe
Meessija	Messija
aimetje	almetje
jijjeh	jïjjeh
Laevas	Leavas
njolkedassh	njoelkedassh
naasjovnalen	nasjonaalen
monnoeh	månnoeh
Eatnamevierhtieh	Eatnemevierhtieh
gaika	galka
statuse	staatuse
skovlesne	skuvlesne
meedija	meedia
dramah	draamah
Mijjien	Mijjen
aamhtside	aamhtesidie
aamhteseprovsah	aamhteseprovsah
statusem	staatusem
Leevangeren	Levangeren
Kaapitele	Kapihtele
såårkosne	sårkosne
båavteres	bååvteres
vååhkose	våhkose
tjåhkojne	tjåanghkojne
tjïjhtjhede	tjïjhtjede
kåvrede	kåvrehte
stïnkestidh	stinkestidh
faakhetji	faahketji
dåejmijes	dåajmijes
gallaname	gallanamme
øøkonomije	økonomije
öökonomijen	økonomijen
aarmohks	aarmogs
tjïrkedh	tjirkedh
raerestibie	raeriestibie
snåarkedh	snjåarkedh
geerehtallledh	geerehtalledh
hojjestallledh	hojjestalledh
fahkajovvvedh	fahkajovvedh
tjoejhkehtidh	tjoejkehtidh
duj	doj
sopstestidh	soptsestidh
ööhpehtimmieprovgramme	ööhpehtimmieprogramme
ööpehtimmieprogramme	ööhpehtimmieprogramme
ööpehtimmieprogrammen	ööhpehtimmieprogrammen
identitetem	identiteetem
vuavkasjidh	våavkasjidh
sïebredahkine	siebriedahkine
honorare	honoraare
namtegh	namhtegh
medijah	meediah
medija	meedia
luvle-	luvlie-
påajhki	pååjhki
honorarese	honoraarese
povlijtigkerh	polijtikerh
dïhre	dïere
universitetesne	universiteetesne
digitale	digitaale
fejjen	feejjen
barkofaagi	barkoefaagi
Galile´an	Galilean
Galile´ese	Galileese
Galile´esne	Galileesne
Galile´este	Galileeste
julev	julev-
Noerhte-Trøøndelaagesne	Noerhte-Tröndelaagesne
miljovnh	millijovnh
Provsjekte	Prosjekte
provsjektem	prosjektem
relijovnen	religiovnen
Tråentesne	Tråantesne
båestede	bååstede
ektesvuekiebarkoem	ektievuekiebarkoem
gåeredi	gåaradi
guhtjelassh	gyhtjelassh
guhtjelassine	gyhtjelassine
govlidie	govlede
galkieh	gelkieh
dååpmegh	dååpmehkh
internasjovne	internasjonaale
gåjkoe	gåajkoe
studijemaahtaldahkese	stuvdiemaahtaldahkese
nænnostamme	nænnoestamme
rovnigs	rovnegs
maanajgïertefaalaldahkem	maanajgïertefaaleldahkem
learohkinie	learoehkinie
kruvnh	krovnh
jähta	jeahta
jinjh	jïjnjh
altse	altese
almetjide	almetjidie
gaatesjïelth	gaatesjïlhth
jijtjh-reereme	jïjtjereereme
jeatjahdehtedh	jeatjahtehtedh
faalaldahkide	faaleldahkide
systeme	systeeme
systemem	systeemem
systemen	systeemen
dååpmegh	dååpmehkh
krievie	kreava
dååpmege	dååpmehke
indijanerh	indijaanerh
jåerhkeskuvlesne	jåarhkeskuvlesne
bååktjege	bååktjehke
båssede	bossede
byøribie	byörebe
barkoejielemisnie	barkoejieliemisnie
aalkoevistie	aalkovistie	
aalkoevisnie	aalkovisnie
Snåesesne	Snåasesne
Nejla	Næjla
baarre	barre
apostelh	apåstelh
geaseminie	giesieminie
faalaldahkh	faaleldahkh
jïtse	jïjtse
ﬁerhten	fïerhten
ejvieboelhkh	åejvieboelhkh
Edtjibie	Edtjijibie
fylhkentjïelht	fylhkentjïelth
bïejieh	biejieh
vïenhtieh	vienhtieh
daarjoeh	darjoeh
tjoerbe	tjoerebe
båajhtoelaakan	båajhtoehlaakan
eadtjoelaakan	eadtjoeslaakan
geesjeli-laakan	geesjelelaakan
eadtjoke	eadtjohke
jeatjlaakan	jeatjahlaakan
jiermeslaakan	jïermijeslaakan
tjabpies	tjaebpies
tjahkes-sæjjan	tjahkessæjjan
tjahkes-sijjesne	tjahkessijjesne
joekoen-laakan	joekoenlaakan
tjabpieslaakan	tjaebpieslaakan
inhtse-laakan	inhtselaakan
joekehtlaakan	joekehtslaakan
jeatj-laakan	jeatjhlaakan
veesties-laakan	vestieslaakan
staerievoeten	staeriesvoeten
nahkerisisnie	nahkarisnie
Juelkietjeenghkeren-gaarvoeh	Juelkietjengkerengaarvoeh
vaerriejægan	vaarrijægan


# The biblical hyphen:
# Our preprocessor cannot deal with ' and ´ in
# names (it used to guve Aleksandri, ´ and este
# on different lines).
# The Bible is thus stripped for hyphens
# (and corrected to our standard). Look into this.
# Issue: Mend the standard or the preprocessor… 

Aleksandri´este	Aleksandrieste
Antioki´esne	Antiokiesne
Antioki´este	Antiokieste
Arabi´este	Araabieste
Are´opagosen	Areopagosen
Arimate´este	Arimateeste
Arkela´ose	Arkelaos
Asi´esne	Aasiesne
Asi´este	Aasieste
Asi´estie	Aasieste
Asi´isnie	Aasiesne
Avi´asse	Aviese
tsueptsie	tsåeptsie
möbeele	mööbele
Bartime´use	Bartimeus
Ba´al	Baal
Betani´a	Betania
Betani´an	Betanian
Betani´ese	Betaniese
Betani´esne	Betaniesne
Betani´este	Betanieste
Be´elsebulen	Beelsebulen
Bityni´esne	Bityniesne
Cæsare´an	Cæsarean
Cæsare´ese	Cæsareese
Dani´ele	Daniel
Dani´elem	Danielem
Dani´elese	Danielese
Dani´eleste	Danieleste
Eli´e	Elie
Eli´en	Elien
Eli´esere	Elieser
Emma´use	Emmaus
Etiopi´an	Etiovpian
Evodi´ese	Euodiese
Fanu´elen	Fanuelen
Fara´ose	Faraose
Farise´erij	Fariseejeri
Frygi´estie	Frygieste
Gabri´ele	Gabriel
Galati´esne	Galatiesne
Galile´am	Galileam
Galile´an	Galilean
Galile´ese	Galileese
Galile´esne	Galileesne
Galile´este	Galileeste
Gamali´ele	Gamaliel
Herodi´a	Herodia
Herodi´an	Herodien
Herodi´ase	Herodiese
Herodi´asen	Herodiesen
Idume´este	Idumeeste
Ikoni´onesne	Ikonionesne
Immanu´ele	Immanuel
Jo´ele	Joel
Jude´an	Judean
Jude´asse	Judeesse
Jude´ese	Judeese
Jude´esne	Judeesne
Jude´este	Judeeste
Jude´isne	Judeesne
Juvde´este	Juvdeeste
Kafarna´ume	Kafarnaum
Kafarna´umen	Kafarnaumen
Kafarna´umese	Kafarnaumese
Kafarna´umesne	Kafarnaumesne
Kanani´osen	Kananeusen
Kappadoki´esne	Kappadokiesne
Kappadoki´este	Kappadokieste
Kiliki´este	Kilikieste
Klo´esen	Kloesen
Laodike´an	Laodikean
Lo´isen	Loisen
Makedoni´isnie	Makedoniesne
Makedoni´istie	Makedonieste
Matte´usem	Matteusem
Mesopotami´estie	Mesopotamieste
Mo´aben	Moaben
Mo´abese	Moabese
Mo´abeste	Moabeste
Na´ine	Naine
No´a	Noa
No´an	Noan
No´ese	Noese
No´omi	Noomi
No´omin	Noomin
Pamfyli´estie	Pamfylieste
Sakke´use	Sakkeus
Samari´a	Samaria
Samari´an	Samarian
Samari´ese	Samariese
Samari´esne	Samariesne
Samu´ele	Samuele
Samu`ele	Samuele
Samu´elem	Samuelem
Samu´elese	Samuelese
Sa´ule	Saul
Sa´ulese	Saulese
Seba´ote	Sebaote
Seba´otem	Sebaotem
Seba´oten	Sebaoten
Sebeda´iosem	Sebedaiom
Sebeda´iosen	Sebedaion
Sime´one	Simeon
Si´one	Sion
Si´onen	Sionen
Si´onisnie	Sionisnie
Si´onistie	Sionistie
Syria-Feniki´este	Syria-Fenikieste
Timote´osese	Timoteusasse
Ussi´a	Ussia
doen´aajmoe	doenaajmoe
doen´aajmoeh	doenaajmoeh
doen´aajmojsne	doenaajmojsne
doen´aajmosne	doenaajmosne
eti´opeladtje	etiopialadtje
fara´om	faraom
fara´on	faraon
farise´ere	fariseejere
farise´erem	fariseejerem
farise´erese	fariseejerasse
farise´erh	fariseejerh
farise´eri	fariseejeri
farise´erijste	fariseejerijstie
galile´aladtjh	galilealadtjh
mede´erh	medeejerh
parte´erh	parteerh
sadduke´erh	saddukeejerh
sadduke´eridie	saddukeejeridie
tjidtj´aahkan	tjidtjaahkan
lea-		lea -
golvoe	govloe
gåhtjoe	gohtjoe
veanta	veanhta
håajkestieh	håajhkestieh
seassoh	seassoeh
orretjaalmege	orretjalmege
ov-murries	ovmurries
jabjoe	jabjoeh
girten	girtien
Geajnoebarkij	Geajnoebarkijh
Idji	Idtji
Jabjoekaarre	Jabjoehkaarre
Jalh	Jallh
jijnjn	jïjnjh
julkie	juelkie
laavjoejim	laavloejim
mielhke	mielhkie
nyjsenæjaj	nyjsenæjjaj
saernijgujnie	saerniejgujmie
tjidtje	tjidtjie
tjiedtjie	tjidtjie
tjiehtjielisne	tjïehtjelisnie
tjåadtjoemine	tjåadtjoeminie
vaadtsem	vaadtseme
vedtsi	veedtsi
vuartesh	vuartesjh
vuartesjim	vuartasjim
vøøseme	vyöseme
ov-læhkoen	ovlæhkoen
pruvhkibie	pruvhkijibie
gaertenisnie	gaertienisnie
edtjiegan	edtjijægan
leaksode	leaksojde
aajkohkese	aajkoehkasse
måaratovva	måarahtåvva
sajvi	saajvi
vaadtsetje	vaadtsehtje
domtieh	domtoeh
svihtjeti	svihtjehti
alkoelistie	aalkoelistie
