# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# regression.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
#
# sme example: 
#rátnubiellu	rátnobiellu	#489 - lack of stem vowel shortening
mavveas	mavve-as	#805 - Nouns+acronyms
maanagierehtsi		#845 - compounds with Pl+Gen in second part
gåetiebïjli		#845 - compounds with Pl+Gen in second part
nïejtegaallohki		#845 - compounds with Pl+Gen in second part
bïjlemoeri		#845 - compounds with Pl+Gen in second part
tjarvegaamegi		#845 - compounds with Pl+Gen in second part
moehtekåånti		#845 - compounds with Pl+Gen in second part
maanagieretsi	maanagierehtsi	#845 - compounds with Pl+Gen in second part
gåetiebijli	gåetiebïjli	#845 - compounds with Pl+Gen in second part
nïejtegallohki	nïejtegaallohki	#845 - compounds with Pl+Gen in second part
bijlemoeri	bïjlemoeri	#845 - compounds with Pl+Gen in second part
tjarvegamegi	tjarvegaamegi	#845 - compounds with Pl+Gen in second part
moehtekåanti	moehtekåånti	#845 - compounds with Pl+Gen in second part
bïjlemoeren		#845 - compounds with Pl+Gen in second part
Gïeleövtiedimmien		#845 - compounds with Pl+Gen in second part
bijlemoeren	bïjlemoeren	#845 - compounds with Pl+Gen in second part
Gieleövtiedimmien	Gïeleövtiedimmien	#845 - compounds with Pl+Gen in second part
ohkenes	ohkene	#846 - non existent words accepted
åvtemes	evtemes	#846 - non existent words accepted
moeneh	moenh	#846 - non existent words accepted
dajveh	dajvh	#846 - non existent words accepted
jeatjah-laakan	jeatjahlaakan	#869 - sub-marked entries accepted
jeatjah-leejne	jeatjahleejne	#869 - sub-marked entries accepted
jeatjah-ligke	jeatjahligke	#869 - sub-marked entries accepted
jeatjah-liktie	jeatjahliktie	#869 - sub-marked entries accepted
jeatjahlaakan		#869 - sub-marked entries accepted
jeatjahleejne		#869 - sub-marked entries accepted
jeatjahligke		#869 - sub-marked entries accepted
jeatjahliktie		#869 - sub-marked entries accepted
saemienskåvloeh		#870 - Default compounding
moerenmoere		#870 - Default compounding
moernmoere	moerenmoere	#870 - Default compounding
saeminskåvloeh	saemienskåvloeh	#870 - Default compounding
